nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST      | Train Loss: 0.0468 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.4972 | Train Acc: 0.8937
 USPS       | Train Loss: 0.0396 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.0779 | Train Acc: 0.9946
 MNIST-M    | Train Loss: 0.0943 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1858 | Test  Acc: 0.9512
 SVHN       | Test  Loss: 1.2541 | Test  Acc: 0.5840
 USPS       | Test  Loss: 0.2024 | Test  Acc: 0.9403
 SynthDigits| Test  Loss: 0.6470 | Test  Acc: 0.7955
 MNIST-M    | Test  Loss: 0.7774 | Test  Acc: 0.7477
============ Train epoch 28 ============
 MNIST      | Train Loss: 0.0515 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3989 | Train Acc: 0.9421
 USPS       | Train Loss: 0.0344 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.0633 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0795 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1794 | Test  Acc: 0.9549
 SVHN       | Test  Loss: 1.1717 | Test  Acc: 0.6175
 USPS       | Test  Loss: 0.1952 | Test  Acc: 0.9452
 SynthDigits| Test  Loss: 0.6293 | Test  Acc: 0.8011
 MNIST-M    | Test  Loss: 0.7669 | Test  Acc: 0.7519
============ Train epoch 29 ============
 MNIST      | Train Loss: 0.0440 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.4197 | Train Acc: 0.9502
 USPS       | Train Loss: 0.0456 | Train Acc: 0.9906
 SynthDigits| Train Loss: 0.0724 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0956 | Train Acc: 0.9960
 MNIST      | Test  Loss: 0.1712 | Test  Acc: 0.9544
 SVHN       | Test  Loss: 1.1694 | Test  Acc: 0.6217
 USPS       | Test  Loss: 0.2027 | Test  Acc: 0.9414
 SynthDigits| Test  Loss: 0.6338 | Test  Acc: 0.7990
 MNIST-M    | Test  Loss: 0.7941 | Test  Acc: 0.7411
============ Train epoch 30 ============
 MNIST      | Train Loss: 0.0278 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3853 | Train Acc: 0.9421
 USPS       | Train Loss: 0.0302 | Train Acc: 0.9960
 SynthDigits| Train Loss: 0.0534 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0620 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1514 | Test  Acc: 0.9596
 SVHN       | Test  Loss: 1.1602 | Test  Acc: 0.6199
 USPS       | Test  Loss: 0.1938 | Test  Acc: 0.9462
 SynthDigits| Test  Loss: 0.6290 | Test  Acc: 0.8001
