nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 SVHN       | Test  Loss: 1.2242 | Test  Acc: 0.5937
 USPS       | Test  Loss: 0.1927 | Test  Acc: 0.9478
 SynthDigits| Test  Loss: 0.6688 | Test  Acc: 0.7875
 MNIST-M    | Test  Loss: 0.8180 | Test  Acc: 0.7294
============ Train epoch 36 ============
 MNIST      | Train Loss: 0.0203 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4151 | Train Acc: 0.9192
 USPS       | Train Loss: 0.0279 | Train Acc: 0.9973
 SynthDigits| Train Loss: 0.0407 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0451 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1490 | Test  Acc: 0.9591
 SVHN       | Test  Loss: 1.2322 | Test  Acc: 0.5901
 USPS       | Test  Loss: 0.1854 | Test  Acc: 0.9489
 SynthDigits| Test  Loss: 0.6264 | Test  Acc: 0.8012
 MNIST-M    | Test  Loss: 0.7151 | Test  Acc: 0.7641
============ Train epoch 37 ============
 MNIST      | Train Loss: 0.0238 | Train Acc: 1.0000
