nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 SVHN       | Test  Loss: 0.9302 | Test  Acc: 0.7032
 USPS       | Test  Loss: 0.1410 | Test  Acc: 0.9602
 SynthDigits| Test  Loss: 0.5938 | Test  Acc: 0.8126
 MNIST-M    | Test  Loss: 0.6574 | Test  Acc: 0.7855
============ Train epoch 33 ============
 MNIST      | Train Loss: 0.0084 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0396 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0137 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0254 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0265 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1315 | Test  Acc: 0.9626
 SVHN       | Test  Loss: 0.9413 | Test  Acc: 0.7021
 USPS       | Test  Loss: 0.1514 | Test  Acc: 0.9570
 SynthDigits| Test  Loss: 0.5961 | Test  Acc: 0.8129
 MNIST-M    | Test  Loss: 0.6638 | Test  Acc: 0.7854
============ Train epoch 34 ============
 MNIST      | Train Loss: 0.0075 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0314 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0122 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0253 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0211 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1229 | Test  Acc: 0.9646
 SVHN       | Test  Loss: 0.9369 | Test  Acc: 0.7022
 USPS       | Test  Loss: 0.1394 | Test  Acc: 0.9629
 SynthDigits| Test  Loss: 0.6080 | Test  Acc: 0.8081
 MNIST-M    | Test  Loss: 0.6570 | Test  Acc: 0.7872
============ Train epoch 35 ============
 MNIST      | Train Loss: 0.0108 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0606 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0149 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0374 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0283 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1369 | Test  Acc: 0.9626
 SVHN       | Test  Loss: 0.9769 | Test  Acc: 0.6912
 USPS       | Test  Loss: 0.1503 | Test  Acc: 0.9602
 SynthDigits| Test  Loss: 0.6406 | Test  Acc: 0.7990
 MNIST-M    | Test  Loss: 0.6865 | Test  Acc: 0.7787
============ Train epoch 36 ============
 MNIST      | Train Loss: 0.0053 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0344 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0058 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0192 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0177 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1279 | Test  Acc: 0.9635
 SVHN       | Test  Loss: 0.9403 | Test  Acc: 0.6990
 USPS       | Test  Loss: 0.1294 | Test  Acc: 0.9618
 SynthDigits| Test  Loss: 0.5932 | Test  Acc: 0.8131
 MNIST-M    | Test  Loss: 0.6536 | Test  Acc: 0.7857
============ Train epoch 37 ============
 MNIST      | Train Loss: 0.0064 | Train Acc: 1.0000
